Provider__c,Slot_Date__c,Start_Time__c,End_Time__c,Is_Available__c,Slot_Type__c
a07ak000018oiIxAAI,2026-04-17,09:00 AM,09:30 AM,TRUE,Regular
a07ak000018oiIxAAI,2026-04-17,09:30 AM,10:00 AM,TRUE,Regular
a07ak000018oiIxAAI,2026-04-17,10:30 AM,11:00 AM,TRUE,Regular
a07ak000018oiItAAI,2026-04-17,09:00 AM,09:30 AM,TRUE,Regular
a07ak000018oiItAAI,2026-04-17,10:00 AM,10:30 AM,TRUE,Regular
a07ak000018oiItAAI,2026-04-17,11:00 AM,11:30 AM,TRUE,Regular
a07ak000018oiIwAAI,2026-04-18,09:30 AM,10:00 AM,TRUE,Regular
a07ak000018oiIwAAI,2026-04-18,10:00 AM,10:30 AM,TRUE,Regular
a07ak000018oiIzAAI,2026-04-23,02:30 PM,03:00 PM,TRUE,Regular
a07ak000018oiIyAAI,2026-04-16,04:00 PM,04:30 PM,TRUE,Regular
